MAVBLCKSCTN,MANSEQNUMB,MAVLINENUMB,MANLINELENGTH,MAVLINECATEGORY,MANNUMBSGNL,MANNUMBLVLCRSG,MAVSGNLTYPE,MACGAUGE,MACTRTNTYPE,MAVDVSNCODE,MADMDFYTIME,MAVMDFYBY,MAVLINENAME,MANMAXSPEED,MAVDRTN
TIU-KBM,1,DN,13.72,NRML,0,1,AB,B,E,WAT,15-Jul,WAT1,1,110,
TIU-KBM,2,UP,13.72,NRML,0,1,AB,B,E,WAT,15-Jul,WAT1,2,110,
TIU-ULM,1,DN,9.63,NRML,0,1,AB,B,E,WAT,15-Jul,WAT1,1,130,
TIU-ULM,2,UP,9.63,NRML,0,1,AB,B,E,WAT,15-Jul,WAT1,2,130,
ULM-CHE,1,DN,10.04,NRML,0,1,AB,B,E,WAT,15-Jul,WAT1,1,130,
ULM-CHE,2,UP,10.04,NRML,0,1,AB,B,E,WAT,15-Jul,WAT1,2,130,
ULM-TIU,1,DN,9.63,NRML,0,1,AB,B,E,WAT,15-Jul,WAT1,1,130,
ULM-TIU,2,UP,9.63,NRML,0,1,AB,B,E,WAT,15-Jul,WAT1,2,130,
VZM-GTLM,1,DN,5.64,NRML,0,2,AB,B,E,WAT,31-Mar,WAT1,DN,110,
VZM-GTLM,2,UP,5.64,NRML,0,2,AB,B,E,WAT,31-Mar,WAT1,UP,110,
VZM-KUK,1,DN,10.65,NRML,0,1,AT,B,E,WAT,15-Jul,WAT1,UP,130,
VZM-KUK,2,MID,10.65,NRML,0,1,AT,B,E,WAT,15-Jul,WAT1,DN,130,
VZM-KUK,3,UP,10.65,NRML,0,1,AT,B,E,WAT,15-Jul,WAT1,NEWLINE,130,
VZM-NML,1,DN,11.74,NRML,0,1,AB,B,E,WAT,15-Jul,WAT1,1,130,
VZM-NML,2,UP,11.74,NRML,0,1,AB,B,E,WAT,15-Jul,WAT1,2,130,
