MANBLCKPSRID,MAVBLCKSCTN,MANSEQNUMBER,MANFROMKM,MANTOKM,MAVFROMSUBKM,MAVTOSUBKM,MACKMOHEFLAG,MADFROMDATE,MADTODATE,MANPASSPEED,MANGDSSPEED,MAVREMARKS,MADMDFYTIME,MAVMDFYBY,MACLEFLAG,MAVAUTHORITY,MAVREASON,MACSTATUS,MANFROMTIME,MANTOTIME,MADMDFYBYDATE,MANDISTANCE,MACSTOPDEAD,MANTIMELOSSPSGR,MANTIMELOSSGOODS
5440,KUK-VZM,3,817,817,20,24,O,01-Jul-19,01-Jul-99,15,15,,25-Oct-19,WATDVSN1,B,Zone,1 IN 8 AND HALF SINGLE SLIP DIAMOND CROSSING NEGOTIATION,O,0,86400,,500,N,337,674
5441,VZM-NML,2,811,810,2,8,O,01-Jul-19,01-Jul-99,95,95,,25-Oct-19,WATDVSN1,B,Zone,3 degree curve.,O,0,86400,,874,N,0,0
5442,PDU-DUSI,2,761,758,0,0,O,01-Jul-19,01-Jul-99,90,90,,25-Oct-19,WATDVSN1,B,Zone,weak formation.,O,0,86400,,3000,N,27,54
5445,DUSI-CHE,2,754,753,20,20,O,01-Jul-19,01-Jul-99,85,85,,25-Oct-19,WATDVSN1,B,Zone,weak formation.,O,0,86400,,921,N,24,48
5446,ULM-TIU,2,735,735,20,8,O,01-Jul-19,01-Jul-99,75,75,,25-Oct-19,WATDVSN1,B,Zone,weak formation.,O,0,86400,,400,N,43,86
