TRAINID,PROPOSAL_ID,SOURCE,DESTINATION,TRAIN_NUMBER,TRAIN_NAME,ROUTE_TYPE,TRAIN_TYPE,DAY_OF_SERVICES,NO_OF_COACHES,TRAIN_COMPOSITION,REVERSE_TRAIN_NUMBER,FORECOLOR,VALIDFROM,VALIDTO
786233,22810,VSKP,PRDP,22810,VSKP-PRDP WEEKLY SF EXP,C,SUF,"0,0,0,0,0,0,1",21,,22809,Red,01-Jan-25,31-Dec-99
800337,67289,VSKP,PSA,67289,VSKP-PSA PSG,C,MEMU,"1,1,1,1,1,1,1",12,,67290,Blue,17-Mar-25,31-Dec-99
784375,58528,VSKP,R,58528,VSKP-R PASSENGER,C,PAS,"1,1,1,1,1,1,1",10,,58527,Blue,01-Jan-25,31-Dec-99
791175,22854,VSKP,SHM,22854,VSKP-SHM WEKLY SF EXPRESS,C,SUF,"0,0,1,0,0,0,0",22,,22853,Red,01-Jan-25,31-Dec-99
786131,20816,VSKP,TATA,20816,VSKP-TATA WEEKLY SUF,C,SUF,"0,0,0,0,0,0,1",23,"SLR-2,GS-6,WGSCN-12,WACCN-2,WACCW-1",20815,Red,01-Jan-25,31-Dec-99
800336,67287,VSKP,VZM,67287,VSKP-VZM PASSENGER,C,MEMU,"1,1,1,1,1,1,1",12,,67288,Blue,17-Mar-25,31-Dec-25
800335,67288,VZM,VSKP,67288,VZM-VSKP PSG,C,MEMU,"1,1,1,1,1,1,1",12,,67287,Blue,17-Mar-25,31-Dec-25
800873,18112,YPR,TATA,18112,YPR TATA WEEKLY EXP,C,MEX,"0,0,0,0,0,0,1",21,,18111,Red,30-Mar-25,31-Dec-99
808842,2812,YPR,BBS,2812,YPR-BBS SPECIAL,C,TOD,"1,0,0,0,0,0,0",18,,2811,Red,15-Sep-25,01-Dec-25
791406,22832,YPR,HWH,22832,YPR-HWH  SUPERFAST EXP,C,SUF,"0,0,0,0,1,0,0",22,,22831,Red,01-Jan-25,31-Dec-99
786289,22884,YPR,PURI,22884,YPR-PURI GARIB RATH,C,GBR,"0,0,0,0,0,1,0",20,,22883,DeepPink,01-Jan-25,31-Dec-99
806049,2864,YPR,SRC,2864,YPR-SRC WEEKLY SPL TOD,C,TOD,"0,0,0,0,0,1,0",20,,2863,Red,12-Jul-25,30-Aug-25
808312,2864,YPR,SRC,2864,YPR-SRC WEEKLY SPL TOD,C,TOD,"0,0,0,0,0,1,0",20,,2863,Red,06-Sep-25,20-Sep-25
808593,2864,YPR,SRC,2864,YPR-SRC WEEKLY SPL TOD,C,TOD,"0,0,0,0,0,1,0",20,,2863,Red,27-Sep-25,29-Nov-25
