TRAINID,PROPOSAL_ID,SOURCE,DESTINATION,TRAIN_NUMBER,TRAIN_NAME,ROUTE_TYPE,TRAIN_TYPE,DAY_OF_SERVICES,NO_OF_COACHES,TRAIN_COMPOSITION,REVERSE_TRAIN_NUMBER,FORECOLOR,VALIDFROM,VALIDTO
791113,12840,MAS,HWH,12840,MAS-HWH SUPERFAST MAIL,C,SUF,"1,1,1,1,1,1,1",24,,12839,Red,01-Jan-25,31-Dec-99
784558,22860,MAS,PURI,22860,MAS-PURI S/F  EXP,C,SUF,"1,0,0,0,0,0,0",20,,22859,Red,01-Jan-25,31-Dec-99
808308,2842,MAS,SHM,2842,MAS-SHM WEEKLY SPL TOD,C,TOD,"0,0,1,0,0,0,0",20,,2841,Red,27-Aug-25,17-Sep-25
803267,15228,MFP,SMVB,15228,MFP-SMVB EXPRESS,C,MEX,"1,0,0,0,0,0,0",22,,15227,Red,12-May-25,31-Dec-99
789248,13434,MLDT,SMVB,13434,MLDT-SMVB AMRIT BHARATEXP,C,AMTB,"0,0,0,0,0,0,1",23,,13433,Blue,01-Jan-25,31-Dec-99
791249,22818,MYS,HWH,22818,MYS HWH SF EXP,C,SUF,"0,0,0,0,0,0,1",20,,22817,Red,01-Jan-25,31-Dec-99
792099,15629,TBM,SHTT,15629,NAGAON EXPRESS,C,MEX,"1,0,0,0,0,0,0",20,,15630,Red,06-Jan-25,31-Dec-99
800362,15630,SHTT,TBM,15630,NAGAON EXPRESS,C,MEX,"0,0,0,0,1,0,0",20,,15629,Red,21-Mar-25,31-Dec-99
802952,12659,NCJ,SHM,12659,NCJ-SHM WKLY EXP,C,SUF,"0,0,0,0,0,0,1",20,,12660,Red,30-Apr-25,31-Dec-99
806270,20810,NED,SBP,20810,NED-SBP SF EXP,C,SUF,"1,1,0,0,0,1,0",20,,20809,Red,12-Jul-25,31-Dec-99
809011,7047,NHLN,CHZ,7047,NHLN-CHZ,C,TOD,"0,1,0,0,0,0,0",24,,7048,Red,02-Sep-25,03-Dec-25
790650,22612,NJP,MAS,22612,NJP MAS SF EXP,C,SUF,"0,0,0,0,1,0,0",20,,22611,Red,01-Jan-25,31-Dec-99
803374,22502,NTSK,SMVB,22502,NTSK-SMVB S/F EXPRESS,C,SUF,"0,0,0,0,1,0,0",20,,22501,Red,16-May-25,31-Dec-99
800364,15930,NTSK,TBM,15930,NTSK-TBM EXPRESS,C,MEX,"1,0,0,0,0,0,0",20,,15929,Red,24-Mar-25,31-Dec-99
808006,12808,NZM,VSKP,12808,NZM-VSKP SAMTA EXP.,C,SUF,"1,1,0,1,1,1,0",23,,12807,Red,14-Aug-25,31-Dec-99
808499,20820,OKHA,PURI,20820,OKHA-PURI WEEKLY EXP,C,SUF,"0,0,1,0,0,0,0",22,"GSLR, GS, GS, GS, WGSCN, WGSCN, WGSCN, WGSCN, WGSCN, WGSCN, WGSCN, WGSCN, WGSCN, WGCB, WGACCW, WGACCN, WGACCN, WGACCN, GS, GS, GS, GSLRD",20819,Red,20-Aug-25,31-Dec-99
794586,20852,PDY,BBS,20852,PDY-BBS SF EXP,C,SUF,"0,0,1,0,0,0,0",20,,,Red,05-Mar-25,31-Dec-99
808714,12868,PDY,HWH,12868,PDY-HWH SUPERFAST EXP,C,SUF,"0,0,1,0,0,0,0",20,,12867,Red,27-Aug-25,31-Dec-99
803752,22644,PNBE,ERS,22644,PNBE-ERS BI-WKLY SF EXP,C,SUF,"0,0,0,1,1,0,0",20,,22643,Red,17-May-25,03-Sep-25
809099,22644,PNBE,ERS,22644,PNBE-ERS BI-WKLY SF EXP,C,SUF,"0,0,0,1,1,0,0",20,,22643,Red,04-Sep-25,31-Dec-99
808713,6086,PNBE,ERS,6086,PNBE-ERS TOD SPL,C,TOD,"1,0,0,0,0,0,0",22,,6085,Red,01-Sep-25,01-Dec-25
786225,22809,PRDP,VSKP,22809,PRDP-VSKP WEEKLY SF EXP,C,SUF,"1,0,0,0,0,0,0",21,,22810,Red,01-Jan-25,31-Dec-99
803813,22605,PRR,TEN,22605,PRR-TEN BI-WKLY SF EXP,C,SUF,"1,0,0,0,1,0,0",16,,22606,Red,23-May-25,31-Dec-99
784451,68420,PSA,BBS,68420,PSA-BBS MEMU,C,MEMU,"1,1,1,1,1,1,1",12,,,Blue,01-Jan-25,31-Dec-99
784463,68446,PSA,CTC,68446,PSA-CTC PASSENGER,C,MEMU,"1,1,1,1,1,1,1",16,,,Blue,01-Jan-25,31-Dec-99
800338,67290,PSA,VSKP,67290,PSA-VSKP PASS,C,MEMU,"1,1,1,1,1,1,1",12,,,Blue,17-Mar-25,31-Dec-99
784460,58531,BAM,VSKP,58531,PSA-VSKP PASSENGER,C,PAS,"1,1,1,1,1,1,1",16,,58532,Blue,01-Jan-25,31-Dec-99
808952,6055,PTJ,BJU,6055,PTJ-BJU TOD SPL,C,TOD,"0,0,0,0,0,1,0",20,,6056,Red,06-Sep-25,29-Nov-25
808456,12843,PURI,ADI,12843,PUI-ADI S/F EXP,C,SUF,"0,1,0,1,1,1,0",22,"LWLRRM-2,LS-5,LWACCW-1,LWACCN-4,LWCBAC-1,LWSCN-9",12844,Red,20-Aug-25,31-Dec-99
800556,22881,PUNE,BBS,22881,PUNE-BBS S/F SPECIAL,C,SUF,"0,0,0,1,0,0,0",20,,22882,Red,27-Mar-25,31-Dec-99
808549,22974,PURI,GIMB,22974,PURI - GIMB SUF,C,SUF,"0,0,0,0,0,1,0",20,,22973,Red,20-Aug-25,31-Dec-99
804314,18417,PURI,GNPR,18417,PURI GUNUPUR EXP SPECIAL,C,MEX,"1,1,1,1,1,1,1",8,,18418,Red,01-Jun-25,31-Dec-99
784557,22859,PURI,MAS,22859,PURI-MAS  S F EXP,C,SUF,"0,0,0,0,0,0,1",20,,22860,Red,01-Jan-25,31-Dec-99
808493,20819,PURI,OKHA,20819,PURI-OKHA WEEKLY EXP.,C,SUF,"0,0,0,0,0,0,1",22,,20820,Red,20-Aug-25,31-Dec-99
809037,17479,PURI,TPTY,17479,PURI-TPTY  EXP,C,MEX,"1,0,1,1,1,0,1",20,,17480,Red,27-Aug-25,25-Oct-25
809042,17479,PURI,TPTY,17479,PURI-TPTY  EXP,C,MEX,"1,0,1,1,1,0,1",20,,17480,Red,26-Oct-25,31-Dec-25
789287,22883,PURI,YPR,22883,PURI-YPR GARIBRATH,C,GBR,"0,0,0,0,1,0,0",20,,22884,DeepPink,01-Jan-25,31-Dec-99
784374,58527,R,VSKP,58527,R-VSKP PASSENGER,C,PAS,"1,1,1,1,1,1,1",10,,58528,Blue,01-Jan-25,31-Dec-99
788477,17244,RGDA,GNT,17244,RGDA-GNT EXP,C,MEX,"1,1,1,1,1,1,1",20,,17243,Red,01-Jan-25,31-Dec-99
804323,20850,RMM,BBS,20850,RMM-BBS WEEKLY EXP,C,SUF,"0,0,0,0,0,0,1",20,,,Red,07-Jun-25,31-Dec-99
804310,18117,ROU,GNPR,18117,ROU-GNPR RAJYARANI EXP,C,MEX,"1,1,1,1,1,1,1",14,,18118,Red,01-Jun-25,31-Dec-99
804979,18464,SBC,BBS,18464,SBC-BBS PRASANTHI,C,MEX,"1,1,1,1,1,1,1",23,"GSLR-1,GSLRD-1,GS-4,WGACCW-1,WGACCN-4,WGSCN-11,WGCB-1",18463,Red,19-Jun-25,31-Dec-99
801035,20809,SBP,NED,20809,SBP-NED S/F,C,SUF,"1,0,0,0,1,0,1",20,,20810,Red,25-Apr-25,31-Dec-99
808717,22850,SC,SHM,22850,SC SHM SUPERFAST EXPRESS,C,SUF,"0,0,0,0,1,0,0",22,,22849,Red,22-Aug-25,04-Sep-25
809090,22850,SC,SHM,22850,SC SHM SUPERFAST EXPRESS,C,SUF,"0,0,0,0,1,0,0",22,,22849,Red,05-Sep-25,31-Dec-99
804862,17016,SC,BBSN,17016,SC-BBSN VISAKHA,C,MEX,"1,1,1,1,1,1,1",20,,17015,Red,16-Jun-25,31-Dec-99
794241,12704,SC,HWH,12704,SC-HWH FALAKNUMA,C,SUF,"1,1,1,1,1,1,1",20,,12703,Red,17-Jan-25,31-Dec-99
802379,12513,CHZ,SCL,12513,SC-SCL S/F EXPRESS,C,SUF,"0,0,0,0,0,1,0",23,,12514,Red,19-Apr-25,31-Dec-99
793359,12774,SC,SHM,12774,SC-SHM AC  EXPRESS,C,SUF,"0,1,0,0,0,0,0",20,,12773,Red,14-Jan-25,31-Dec-99
805714,12516,SCL,CBE,12516,SCL-CBE EXPRESS,C,SUF,"0,1,0,0,0,0,0",20,,12515,Red,30-Jun-25,31-Dec-99
804656,12514,SCL,CHZ,12514,SCL-SC S/F EXPRESS,C,SUF,"0,0,1,0,0,0,0",23,,12513,Red,11-Jun-25,31-Dec-99
805883,12508,SCL,TVC,12508,SCL-TVC EXPRESS,C,SUF,"0,0,0,1,0,0,0",20,,12507,Red,04-Jul-25,31-Dec-99
790228,22825,SHM,MAS,22825,SHM MAS SUF EXP,C,SUF,"0,1,0,0,0,0,0",18,,22826,Red,01-Jan-25,31-Dec-99
808716,22849,SHM,SC,22849,SHM SC SUPERFAST EXPRESS,C,SUF,"0,0,1,0,0,0,0",22,,22850,Red,27-Aug-25,31-Dec-99
803710,22642,SHM,TVC,22642,SHM TVC BI-WEEKLY SF EXP,C,SUF,"0,1,0,0,0,0,1",20,,22641,Red,16-May-25,30-Aug-25
809106,22642,SHM,TVC,22642,SHM TVC BI-WEEKLY SF EXP,C,SUF,"0,1,0,0,0,0,1",20,,22641,Red,31-Aug-25,31-Dec-99
806304,18047,SHM,VSG,18047,SHM VSG AMARAVATI EXP,C,MEX,"1,1,0,1,0,1,0",20,,18048,Red,12-Jul-25,31-Dec-99
804878,18045,SHM,CHZ,18045,SHM-CHZ EAST COAST EXP,C,MEX,"1,1,1,1,1,1,1",24,,18046,Red,16-Jun-25,31-Dec-99
808307,2841,SHM,MAS,2841,SHM-MAS SUMMER SPL TOD,C,TOD,"1,0,0,0,0,0,0",20,,2842,Red,25-Aug-25,15-Sep-25
802956,12660,SHM,NCJ,12660,SHM-NCJ SF EXP,C,SUF,"0,0,1,0,0,0,0",20,,12659,Red,30-Apr-25,31-Dec-99
790157,12773,SHM,SC,12773,SHM-SC AC EXPRESS,C,SUF,"0,0,1,0,0,0,0",20,,12774,Red,01-Jan-25,31-Dec-99
791169,22853,SHM,VSKP,22853,SHM-VSKP WEEKLY SF EXP,C,SUF,"0,1,0,0,0,0,0",22,,22854,Red,01-Jan-25,31-Dec-99
802112,12246,SMVB,HWH,12246,SMVB  HWH DURANTO EXP,C,DRNT,"1,1,0,1,1,0,1",21,,12245,Red,13-Apr-25,31-Dec-99
792514,18638,SMVB,HTE,18638,SMVB - HTE EXPRESS,C,MEX,"0,1,0,0,0,0,0",19,,18637,Red,07-Jan-25,31-Dec-99
789021,12890,SMVB,TATA,12890,SMVB - TATA SUF EXPRESS,C,SUF,"1,0,0,0,0,0,0",20,,12889,Red,01-Jan-25,31-Dec-99
804425,13433,SMVB,MLDT,13433,SMVB MLDT AMRIT BHARATEXP,C,AMTB,"0,1,0,0,0,0,0",23,,13434,Blue,03-Jun-25,31-Dec-99
802113,12846,SMVB,BBS,12846,SMVB-BBS WEEKLY EXPRESS,C,SUF,"1,0,0,0,0,0,0",20,,12845,Red,13-Apr-25,31-Dec-99
802114,22834,SMVB,BBS,22834,SMVB-BBS WEEKLYHUMSAFAR E,C,SUF,"0,0,0,1,0,0,0",19,"LWLRRM-2,LWCBAC-1,LWACCN-16",22833,Red,13-Apr-25,31-Dec-99
790302,12253,SMVB,BGP,12253,SMVB-BGP ANGA EXPRESS,C,SUF,"0,0,0,0,0,1,0",20,,12254,Red,01-Jan-25,31-Dec-99
802614,12509,SMVB,GHY,12509,SMVB-GHY S/F EXPRESS,C,SUF,"0,0,1,1,1,0,0",20,,12510,Red,24-Apr-25,31-Dec-99
789976,12836,SMVB,HTE,12836,SMVB-HTE SUF EXPRESS,C,SUF,"0,1,0,1,0,0,0",22,,12835,Red,01-Jan-25,31-Dec-99
802108,22888,SMVB,HWH,22888,SMVB-HWH HUMSAFAR EXPRESS,C,SUF,"0,0,0,1,0,0,0",20,,22887,Red,13-Apr-25,31-Dec-99
791137,22864,SMVB,HWH,22864,SMVB-HWH SUPERFAST AC EXP,C,SUF,"0,0,1,0,0,0,0",19,,22863,Red,01-Jan-25,31-Dec-99
802111,12864,SMVB,HWH,12864,SMVB-HWH SUPERFAST EXP,C,SUF,"1,1,1,1,1,1,1",23,,12863,Red,13-Apr-25,31-Dec-99
804912,22305,SMVB,JSME,22305,SMVB-JSME WKLY SF EXP,C,SUF,"0,0,0,0,0,0,1",22,,22306,Red,22-Jun-25,31-Dec-99
802604,12551,SMVB,KYQ,12551,SMVB-KYQ AC S/F EXPRESS,C,SUF,"0,0,0,0,0,1,0",20,,12552,Red,24-Apr-25,31-Dec-99
803215,15227,SMVB,MFP,15227,SMVB-MFP EXPRESS,C,MEX,"0,0,0,1,0,0,0",22,,15228,Red,08-May-25,31-Dec-99
803373,22501,SMVB,NTSK,22501,SMVB-NTSK S/F EXPRESS,C,SUF,"0,1,0,0,0,0,0",20,,22502,Red,13-May-25,31-Dec-99
808719,22851,SRC,MAQ,22851,SRC MAQ VIVEK EXPRESS,C,SUF,"0,0,0,1,0,0,0",22,,22852,Red,28-Aug-25,31-Dec-99
790245,22851,SRC,MAQ,22851,SRC MAQ VIVEK SUF EXP,C,SUF,"0,0,0,1,0,0,0",22,,22852,Red,01-Jan-25,27-Aug-25
793715,22807,SRC,MAS,22807,SRC MAS AC EXPRESS,C,SUF,"0,1,0,0,1,0,0",20,,22808,Red,14-Jan-25,31-Dec-99
793716,22841,SRC,TBM,22841,SRC TBM ANTYODAYA EXPRESS,C,SUF,"1,0,0,0,0,0,0",18,,22842,Red,13-Jan-25,31-Dec-99
793967,22855,SRC,TPTY,22855,SRC TPTY SF EXP,C,SUF,"0,0,0,0,0,0,1",19,,22856,Red,19-Jan-25,31-Dec-99
808756,8845,SRC,CHZ,8845,SRC-CHZ WEEKLY PUJA SPL,C,TOD,"0,0,0,0,1,0,0",22,,8846,Red,19-Sep-25,03-Oct-25
806048,2863,SRC,YPR,2863,SRC-YPR WEEKLY SPL TOD,C,TOD,"0,0,0,1,0,0,0",20,,2864,Red,10-Jul-25,28-Aug-25
808311,2863,SRC,YPR,2863,SRC-YPR WEEKLY SPL TOD,C,TOD,"0,0,0,1,0,0,0",20,,2864,Red,04-Sep-25,18-Sep-25
808590,2863,SRC,YPR,2863,SRC-YPR WEEKLY SPL TOD,C,TOD,"0,0,0,1,0,0,0",20,,2864,Red,25-Sep-25,27-Nov-25
803007,18111,TATA,YPR,18111,TATA - YPR WEEKLY EXP,C,MEX,"0,0,0,1,0,0,0",12,,18112,Red,01-May-25,31-Dec-99
806470,18189,TATA,ERS,18189,TATA-ERS EXPRESS,C,MEX,"1,1,1,1,1,1,1",21,,18190,Red,10-Aug-25,31-Dec-99
801909,12889,TATA,SMVB,12889,TATA-SMVB SUPERFAST EXP,C,SUF,"0,0,0,0,1,0,0",20,,12890,Red,10-Apr-25,31-Dec-99
786127,20815,TATA,VSKP,20815,TATA-VSKP WEEKLY EXP,C,SUF,"1,0,0,0,0,0,0",23,"SLR-2,GS-6,WGSCN-12,WACCN-2,WACCW-1",20816,Red,01-Jan-25,31-Dec-99
791103,22842,TBM,SRC,22842,TBM SRC ANTYODAYA EXPRESS,C,SUF,"0,0,1,0,0,0,0",18,,22841,Red,01-Jan-25,31-Dec-99
789884,12375,TBM,JSME,12375,TBM-JSME SF EXP,C,SUF,"0,0,0,0,0,1,0",22,"LWLRRM-2,LWACCN-6,LWACCW-1,LWCBAC-1,LWSCN-10,LS-2",12376,Red,01-Jan-25,31-Dec-99
792188,15929,TBM,NTSK,15929,TBM-NTSK EXPRESS,C,MEX,"0,0,0,1,0,0,0",20,,15930,Red,02-Jan-25,31-Dec-99
803814,22606,TEN,PRR,22606,TEN-PRR BI-WKLY SF EXP,C,SUF,"0,0,1,0,0,1,0",16,,22605,Red,21-May-25,31-Dec-99
785872,12664,TPJ,HWH,12664,TPJ-HWH SF EXP,C,SUF,"0,1,0,0,1,0,0",20,,12663,Red,01-Jan-25,31-Dec-99
793060,20890,TPTY,HWH,20890,TPTY HWH HUMSAFAR EXP,C,SUF,"0,0,0,0,0,0,1",18,,20889,Red,12-Jan-25,31-Dec-99
